Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
8/12/2019,Spal,Brescia,0,1,A,0,0,D,18,12,4,7,17,18,3,1,3,3,0,0
8/12/2019,Torino,Fiorentina,2,1,H,1,0,H,10,15,5,5,19,17,3,9,4,3,0,0
8/12/2019,Sampdoria,Parma,0,1,A,0,1,A,18,10,6,2,15,12,3,2,3,2,0,0
8/12/2019,Bologna,Milan,2,3,A,1,2,A,11,11,4,7,17,19,5,1,4,2,0,0
14/12/2019,Brescia,Lecce,3,0,H,2,0,H,13,11,9,4,17,26,4,6,4,6,0,0
14/12/2019,Napoli,Parma,1,2,A,0,1,A,22,7,9,5,9,12,11,1,2,2,0,0
14/12/2019,Genoa,Sampdoria,0,1,A,0,0,D,5,2,1,1,16,26,4,2,5,3,0,0
15/12/2019,Verona,Torino,3,3,D,0,1,A,12,12,8,8,20,19,6,3,3,1,0,0
15/12/2019,Bologna,Atalanta,2,1,H,1,0,H,8,15,5,7,14,18,4,4,5,1,1,0
15/12/2019,Juventus,Udinese,3,1,H,3,0,H,14,9,12,7,10,4,9,8,2,1,0,0
15/12/2019,Milan,Sassuolo,0,0,D,0,0,D,17,10,12,6,14,16,8,3,5,4,0,0
15/12/2019,Roma,Spal,3,1,H,0,1,A,18,5,13,3,10,17,8,3,1,3,0,0
15/12/2019,Fiorentina,Inter,1,1,D,0,1,A,10,7,5,5,15,17,5,1,3,4,0,0
16/12/2019,Cagliari,Lazio,1,2,A,1,0,H,9,13,4,7,11,11,2,9,4,3,0,0
18/12/2019,Sampdoria,Juventus,1,2,A,1,2,A,13,10,4,4,7,17,5,5,5,2,1,0
18/12/2019,Brescia,Sassuolo,0,2,A,0,1,A,15,11,6,6,16,17,4,4,2,3,0,0
20/12/2019,Fiorentina,Roma,1,4,A,1,2,A,7,8,4,6,20,16,5,4,4,3,0,0
21/12/2019,Udinese,Cagliari,2,1,H,1,0,H,9,13,2,2,13,14,2,1,3,4,0,1
21/12/2019,Inter,Genoa,4,0,H,2,0,H,12,7,9,4,11,12,6,3,1,4,0,0
21/12/2019,Torino,Spal,1,2,A,1,1,D,7,7,6,4,24,16,10,3,5,5,1,0
22/12/2019,Atalanta,Milan,5,0,H,1,0,H,14,4,12,1,7,12,5,2,2,4,0,0
22/12/2019,Lecce,Bologna,2,3,A,0,1,A,7,19,3,16,17,18,6,2,3,3,0,0
22/12/2019,Parma,Brescia,1,1,D,0,0,D,13,11,6,4,16,10,9,5,3,2,0,0
22/12/2019,Sassuolo,Napoli,1,2,A,1,0,H,12,14,5,11,16,13,7,11,2,2,0,0
5/1/2020,Brescia,Lazio,1,2,A,1,1,D,4,15,3,7,12,24,2,5,5,4,1,0
5/1/2020,Spal,Verona,0,2,A,0,1,A,12,14,2,9,8,15,3,4,1,1,1,0
5/1/2020,Genoa,Sassuolo,2,1,H,1,1,D,10,6,7,3,23,14,1,6,4,6,0,0
5/1/2020,Roma,Torino,0,2,A,0,1,A,25,9,11,6,10,21,14,3,5,2,0,0
6/1/2020,Bologna,Fiorentina,1,1,D,0,1,A,12,7,7,4,14,23,14,2,2,4,0,0
6/1/2020,Atalanta,Parma,5,0,H,3,0,H,18,3,11,1,12,13,2,2,2,4,0,0
6/1/2020,Juventus,Cagliari,4,0,H,0,0,D,15,5,11,3,9,15,3,2,1,1,0,0
6/1/2020,Milan,Sampdoria,0,0,D,0,0,D,14,6,12,4,12,20,7,5,1,5,0,0
6/1/2020,Lecce,Udinese,0,1,A,0,0,D,10,7,6,4,17,11,7,8,1,1,0,0
6/1/2020,Napoli,Inter,1,3,A,1,2,A,18,9,8,8,10,22,3,4,0,6,0,0
11/1/2020,Cagliari,Milan,0,2,A,0,0,D,6,8,2,4,14,13,3,6,3,1,0,0
11/1/2020,Lazio,Napoli,1,0,H,0,0,D,7,11,6,7,9,7,6,6,2,2,0,0
11/1/2020,Inter,Atalanta,1,1,D,1,0,H,8,12,5,7,21,13,0,4,3,4,0,0
12/1/2020,Udinese,Sassuolo,3,0,H,1,0,H,13,10,9,5,13,13,6,11,0,0,0,0
12/1/2020,Fiorentina,Spal,1,0,H,0,0,D,11,9,5,3,18,10,3,4,1,1,0,0
12/1/2020,Sampdoria,Brescia,5,1,H,2,1,H,22,9,11,5,14,7,4,2,2,3,0,0
12/1/2020,Torino,Bologna,1,0,H,1,0,H,4,10,3,7,16,14,3,9,6,3,0,0
12/1/2020,Verona,Genoa,2,1,H,0,1,A,11,3,9,3,14,22,4,2,3,6,0,0
12/1/2020,Roma,Juventus,1,2,A,0,2,A,16,5,9,4,12,13,13,2,6,3,0,0
13/01/2020,Parma,Lecce,2,0,H,0,0,D,9,11,5,6,19,10,6,5,4,2,0,0
18/01/2020,Lazio,Sampdoria,5,1,H,3,0,H,16,6,12,4,12,13,6,4,1,2,0,1
18/01/2020,Sassuolo,Torino,2,1,H,0,1,A,7,7,6,3,13,15,13,6,2,4,0,0
18/01/2020,Napoli,Fiorentina,0,2,A,0,1,A,10,9,5,5,7,10,4,5,2,2,0,0
19/01/2020,Milan,Udinese,3,2,H,0,1,A,19,10,10,7,17,8,9,3,5,1,0,0
19/01/2020,Bologna,Verona,1,1,D,1,0,H,5,11,3,8,20,16,3,8,6,2,1,0
19/01/2020,Brescia,Cagliari,2,2,D,1,1,D,9,18,6,10,10,18,2,7,4,4,1,0
19/01/2020,Lecce,Inter,1,1,D,0,0,D,8,16,3,10,11,9,3,14,2,2,0,0
19/01/2020,Genoa,Roma,1,3,A,1,2,A,9,14,8,7,12,13,7,3,2,3,0,0
19/01/2020,Juventus,Parma,2,1,H,1,0,H,14,8,6,7,12,10,10,6,0,1,0,0
20/01/2020,Atalanta,Spal,1,2,A,1,0,H,14,13,8,7,15,17,8,4,2,3,0,0
24/01/2020,Brescia,Milan,0,1,A,0,0,D,13,10,7,5,12,15,7,3,2,4,0,0
25/01/2020,Spal,Bologna,1,3,A,1,1,D,9,12,5,6,16,15,5,9,4,3,0,0
25/01/2020,Fiorentina,Genoa,0,0,D,0,0,D,15,8,6,6,18,21,7,6,4,3,0,0
25/01/2020,Torino,Atalanta,0,7,A,0,3,A,6,17,4,15,17,12,4,12,3,2,2,0
26/01/2020,Inter,Cagliari,1,1,D,1,0,H,14,8,5,3,10,10,4,6,4,1,2,0
26/01/2020,Parma,Udinese,2,0,H,2,0,H,10,15,5,5,12,9,5,11,2,3,0,0
26/01/2020,Sampdoria,Sassuolo,0,0,D,0,0,D,15,6,5,2,16,9,6,3,4,1,0,1
26/01/2020,Verona,Lecce,3,0,H,2,0,H,9,3,5,1,16,11,5,0,2,3,0,1
26/01/2020,Roma,Lazio,1,1,D,1,1,D,16,3,7,2,11,12,7,1,3,4,0,0
26/01/2020,Napoli,Juventus,2,1,H,0,0,D,11,7,4,5,14,14,3,2,2,5,0,0
1/2/2020,Bologna,Brescia,2,1,H,1,1,D,17,3,7,1,17,14,6,3,3,2,0,0
1/2/2020,Cagliari,Parma,2,2,D,1,1,D,21,17,11,5,12,15,8,7,3,2,0,0
1/2/2020,Sassuolo,Roma,4,2,H,3,0,H,16,19,9,9,6,19,5,11,1,7,0,1
2/2/2020,Juventus,Fiorentina,3,0,H,1,0,H,8,7,8,5,9,13,10,5,1,4,0,0
2/2/2020,Atalanta,Genoa,2,2,D,2,2,D,17,9,10,5,19,19,7,1,2,6,0,1
2/2/2020,Lazio,Spal,5,1,H,4,0,H,12,10,10,5,9,7,5,2,1,2,0,0
2/2/2020,Milan,Verona,1,1,D,1,1,D,17,8,6,6,11,12,9,3,1,4,0,1
2/2/2020,Lecce,Torino,4,0,H,2,0,H,14,11,11,4,14,23,5,3,3,3,0,0
2/2/2020,Udinese,Inter,0,2,A,0,0,D,11,14,4,10,10,16,3,2,2,2,0,0
